,,6Base_2 Avg:,-0.0333,-0.0329,-0.0203,BASELINE SUBTRACTED,,
Date & Time,Date,Time,PDIT705,PDIT706,PDIT707,PDIT705,PDIT706,PDIT707
12/14/2018 6:49:04.94,12/14/18,06:49:04:94,-0.04422,-0.105,0.067733,,,
12/14/2018 6:49:05.03,12/14/18,06:49:05:03,-0.04497,-0.10504,0.067773,,,
12/14/2018 6:49:05.22,12/14/18,06:49:05:22,-0.04422,-0.10504,0.067773,,,
12/14/2018 6:49:05.40,12/14/18,06:49:05:40,-0.04497,-0.10504,0.067733,,,
12/14/2018 6:49:05.59,12/14/18,06:49:05:59,-0.04497,-0.105,0.067773,,,
12/14/2018 6:49:05.79,12/14/18,06:49:05:79,-0.04452,-0.105,0.067773,,,
12/14/2018 6:49:06.11,12/14/18,06:49:06:11,-0.04527,-0.10504,0.067773,,,
12/14/2018 6:49:06.18,12/14/18,06:49:06:18,-0.04497,-0.10504,0.067773,,,
12/14/2018 6:49:06.28,12/14/18,06:49:06:28,-0.04482,-0.10504,0.067773,,,
12/14/2018 6:49:06.48,12/14/18,06:49:06:48,-0.045121,-0.10504,0.067773,,,
12/14/2018 6:49:06.67,12/14/18,06:49:06:67,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:06.87,12/14/18,06:49:06:87,-0.04437,-0.10504,0.067773,,,
12/14/2018 6:49:07.15,12/14/18,06:49:07:15,-0.045421,-0.10504,0.067773,,,
12/14/2018 6:49:07.24,12/14/18,06:49:07:24,-0.04557,-0.10504,0.067813,,,
12/14/2018 6:49:07.35,12/14/18,06:49:07:35,-0.04557,-0.10504,0.067813,,,
12/14/2018 6:49:07.54,12/14/18,06:49:07:54,-0.04527,-0.10504,0.067773,,,
12/14/2018 6:49:07.73,12/14/18,06:49:07:73,-0.04467,-0.10508,0.067773,,,
12/14/2018 6:49:07.93,12/14/18,06:49:07:93,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:08.23,12/14/18,06:49:08:23,-0.04527,-0.10504,0.067773,,,
12/14/2018 6:49:08.32,12/14/18,06:49:08:32,-0.04497,-0.10504,0.067813,,,
12/14/2018 6:49:08.51,12/14/18,06:49:08:51,-0.04467,-0.10508,0.067773,,,
12/14/2018 6:49:08.71,12/14/18,06:49:08:71,-0.04437,-0.10504,0.067773,,,
12/14/2018 6:49:08.91,12/14/18,06:49:08:91,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:09.13,12/14/18,06:49:09:13,-0.04482,-0.10504,0.067813,,,
12/14/2018 6:49:09.43,12/14/18,06:49:09:43,-0.045721,-0.10504,0.067813,,,
12/14/2018 6:49:09.52,12/14/18,06:49:09:52,-0.04557,-0.10504,0.067813,,,
12/14/2018 6:49:09.71,12/14/18,06:49:09:71,-0.04407,-0.10504,0.067773,,,
12/14/2018 6:49:09.90,12/14/18,06:49:09:90,-0.04527,-0.10504,0.067813,,,
12/14/2018 6:49:10.08,12/14/18,06:49:10:08,-0.045121,-0.10504,0.067813,,,
12/14/2018 6:49:10.29,12/14/18,06:49:10:29,-0.04467,-0.10504,0.067773,,,
12/14/2018 6:49:10.57,12/14/18,06:49:10:57,-0.04527,-0.10504,0.067813,,,
